date,forecast_best,product_name
2025-01-12,2888.7109747239338,Kellogg’s Corn Flakes
2025-01-13,-605.5525044011415,Kellogg’s Corn Flakes
2025-01-14,2745.690040062106,Kellogg’s Corn Flakes
2025-01-15,6518.942739845183,Kellogg’s Corn Flakes
2025-01-16,2854.643555347202,Kellogg’s Corn Flakes
2025-01-17,3609.616219159782,Kellogg’s Corn Flakes
2025-01-18,1100.3888701109572,Kellogg’s Corn Flakes
2025-01-19,3376.4303757948824,Kellogg’s Corn Flakes
2025-01-20,-186.00178858270147,Kellogg’s Corn Flakes
2025-01-21,3072.350285906532,Kellogg’s Corn Flakes
2025-01-22,6730.244910843343,Kellogg’s Corn Flakes
2025-01-23,2931.1756067412307,Kellogg’s Corn Flakes
2025-01-24,3535.7398210438896,Kellogg’s Corn Flakes
2025-01-25,864.8505568708679,Kellogg’s Corn Flakes
2025-01-26,2972.8449252801897,Kellogg’s Corn Flakes
2025-01-27,-758.8128263345593,Kellogg’s Corn Flakes
2025-01-28,2334.5228303357235,Kellogg’s Corn Flakes
2025-01-29,5837.012850993139,Kellogg’s Corn Flakes
2025-01-30,1897.399455236949,Kellogg’s Corn Flakes
2024-12-28,5238.09130859375,LEGO Star Wars Set
2024-12-29,5257.09912109375,LEGO Star Wars Set
2024-12-30,5284.1904296875,LEGO Star Wars Set
2024-12-31,5355.74267578125,LEGO Star Wars Set
2025-01-01,5368.6728515625,LEGO Star Wars Set
2025-01-02,5449.79052734375,LEGO Star Wars Set
2025-01-03,5468.337890625,LEGO Star Wars Set
2025-01-04,5469.70654296875,LEGO Star Wars Set
2025-01-05,5469.7744140625,LEGO Star Wars Set
2025-01-06,5469.7138671875,LEGO Star Wars Set
2025-01-07,5469.599609375,LEGO Star Wars Set
2025-01-08,5469.513671875,LEGO Star Wars Set
2025-01-09,5469.42529296875,LEGO Star Wars Set
2025-01-10,5469.40673828125,LEGO Star Wars Set
2025-01-11,5469.4052734375,LEGO Star Wars Set
2025-01-12,5469.4052734375,LEGO Star Wars Set
2025-01-13,5469.40576171875,LEGO Star Wars Set
2025-01-14,5469.40625,LEGO Star Wars Set
2025-01-15,5469.40625,LEGO Star Wars Set
